,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
0,Twenty Thousand Leagues Under the Sea,Jules Verne,Science fiction,Submarines (Ships) -- Fiction,Sea stories,139,710,English,2007-09-01
1,"The English Spy: An Original Work Characteristic, Satirical, And Humorou","e English Spy: An Original Work Characteristic, Satirical, And Humorous.","Satire, English",England -- Social life and customs,University of Oxford -- Anecdotes,132,210833,English,2006-12-03
2,Alroy: The Prince of the Captivity,Earl of Beaconsfield Benjamin Disraeli,Historical fiction,War stories,Princes -- Fiction,23,85421,English,2006-12-03
3,The Infernal Marriage,Earl of Beaconsfield Benjamin Disraeli,"Satire, English","Gods, Roman -- Fiction",NA,11,19639,English,2006-12-03
4,"Tancred; Or, The New Crusade",Earl of Beaconsfield Benjamin Disraeli,Judaism -- Relations -- Christianity -- Fiction,Christianity and other religions -- Judaism -- Fiction,NA,108,163034,English,2006-12-03
5,"A Narrative of the Life of Rev. Noah Davis, A Colored Man",Noah Davis,"Davis, Noah, 1803 or 1804-",Slavery -- United States -- Personal narratives,Freedmen -- Maryland,4,16125,English,2006-12-03
6,Dua Libro de l' Lingvo Internacia,L. L. Zamenhof,Esperanto,Esperanto -- Readers,NA,38,16298,Esperanto,2006-12-03
7,Lord George Bentinck: A Political Biography,Disraeli,Great Britain -- Politics and government -- 1837-1901,"Bentinck, George, Lord, 1802-1848",Politicians -- Great Britain -- Biography,32,44307,English,2006-12-03
8,The Young Duke,Earl of Beaconsfield Benjamin Disraeli,Fathers and sons -- Fiction,Love stories,Bildungsromans,32,112797,English,2006-12-03
9,Ixion In Heaven,Earl of Beaconsfield Benjamin Disraeli,Short stories,"Gods, Roman -- Fiction",Ixion (Greek mythology) -- Fiction,11,8570,English,2006-12-03
10,The Calico Cat,Charles Miner Thompson,Villages -- Fiction,Mystery fiction,Cats -- Fiction,14,21495,English,2006-12-03
11,Pequeñeces,Luis Coloma,Aristocracy (Social class) -- Spain -- 19th century -- Fiction,Spain -- Social conditions -- 1886-1939 -- Fiction,NA,13,142168,Spanish,2006-12-03
12,The Hawarden Visitors' Hand-Book,William Henry Gladstone,"Gladstone, W. E. (William Ewart), 1809-1898 -- Homes and haunts -- Wales -- Hawarden",Hawarden Castle (Wales) -- Guidebooks,Hawarden (Wales) -- Guidebooks,29,9782,English,2006-12-03
13,Formules pour l'esprit,Florentin Smarandache,Romanian poetry -- Translations into French,NA,NA,2,3782,French,2006-12-04
14,"Canada and the Canadians, Vol. 1",Sir Richard Henry Bonnycastle,Ontario -- Description and travel,Canada -- Description and travel,NA,33,53804,English,2006-12-04
15,The Child of Pleasure,Gabriele D'Annunzio,Fiction,NA,NA,114,98032,English,2006-12-04
16,Home Rule,Harold Spender,Home rule -- Ireland,NA,NA,3,49576,English,2006-12-04
17,Pages for Laughing Eyes,Unknown,Children's poetry,Children's stories,NA,61,6096,English,2006-12-04
